layer,hook_name,metric,mean_delta,std_delta,n_examples
0,blocks.0.hook_resid_post,logit,-0.10731907894736842,0.2508673997074013,38
1,blocks.1.hook_resid_post,logit,0.13425164473684212,0.3581788962577467,38
2,blocks.2.hook_resid_post,logit,0.2109375,0.3184764243974104,38
3,blocks.3.hook_resid_post,logit,0.39453125,0.4184307523349326,38
4,blocks.4.hook_resid_post,logit,0.30365953947368424,0.4554749288724573,38
5,blocks.5.hook_resid_post,logit,0.45538651315789475,0.41798170641203264,38
6,blocks.6.hook_resid_post,logit,0.42886513157894735,0.4706352484272128,38
7,blocks.7.hook_resid_post,logit,0.28289473684210525,0.5896774166279475,38
8,blocks.8.hook_resid_post,logit,-0.021998355263157895,0.7499512918427301,38
9,blocks.9.hook_resid_post,logit,0.21052631578947367,0.593902639098322,38
10,blocks.10.hook_resid_post,logit,0.7374588815789473,0.6300616916445074,38
11,blocks.11.hook_resid_post,logit,1.4066611842105263,0.8021506344422225,38
12,blocks.12.hook_resid_post,logit,1.654810855263158,0.9571126555683399,38
13,blocks.13.hook_resid_post,logit,2.0133634868421053,1.2029589597478718,38
14,blocks.14.hook_resid_post,logit,1.6428865131578947,1.093734778934172,38
15,blocks.15.hook_resid_post,logit,1.5004111842105263,1.0694605496795369,38
16,blocks.16.hook_resid_post,logit,1.6515213815789473,1.0963237988345935,38
17,blocks.17.hook_resid_post,logit,2.0324835526315788,1.1956216290062298,38
18,blocks.18.hook_resid_post,logit,2.2025082236842106,1.19764511620114,38
19,blocks.19.hook_resid_post,logit,2.2107319078947367,1.1941236619722027,38
20,blocks.20.hook_resid_post,logit,2.0953947368421053,1.1573482473330992,38
21,blocks.21.hook_resid_post,logit,2.1955180921052633,1.148901339903433,38
22,blocks.22.hook_resid_post,logit,2.276315789473684,1.1514999860591801,38
23,blocks.23.hook_resid_post,logit,2.3961759868421053,1.151419024429166,38
24,blocks.24.hook_resid_post,logit,2.414473684210526,1.1588378798449006,38
25,blocks.25.hook_resid_post,logit,2.427220394736842,1.1393807212441087,38
26,blocks.26.hook_resid_post,logit,2.3733552631578947,1.1208134580142262,38
27,blocks.27.hook_resid_post,logit,2.376027960526316,1.1134317051792002,38
28,blocks.28.hook_resid_post,logit,2.405838815789474,1.126484315719669,38
29,blocks.29.hook_resid_post,logit,2.4187911184210527,1.1271629853485086,38
30,blocks.30.hook_resid_post,logit,2.4934210526315788,1.1392206134639118,38
31,blocks.31.hook_resid_post,logit,2.573190789473684,1.1456574889182907,38
