condition,layer,n_examples,mean_gold_logit,std_gold_logit,mean_gold_rank,median_gold_rank,top1_rate,top1_count
cell_A,0,38,-0.6611,1.8174,29957.21,30490,0.0,0
cell_A,1,38,-0.8766,1.7351,31710.55,36479,0.0,0
cell_A,2,38,-1.2179,1.8127,34039.89,35834,0.0,0
cell_A,3,38,-1.3736,1.7888,35107.61,38051,0.0,0
cell_A,4,38,-1.6757,2.1935,35714.24,38131,0.0,0
cell_A,5,38,-1.3416,2.3241,34233.32,38977,0.0,0
cell_A,6,38,-2.1207,2.566,37991.26,42783,0.0,0
cell_A,7,38,-1.273,2.138,35201.89,40633,0.0,0
cell_A,8,38,-1.4976,2.0397,36375.74,39921,0.0,0
cell_A,9,38,-2.1191,2.5068,37874.26,45019,0.0,0
cell_A,10,38,-0.9119,2.1735,31880.89,34495,0.0,0
cell_A,11,38,-1.0802,2.4089,32756.0,38877,0.0,0
cell_A,12,38,-0.783,2.1808,31146.42,34626,0.0,0
cell_A,13,38,0.8549,1.5691,18471.29,19781,0.0,0
cell_A,14,38,0.9705,1.8952,18447.95,17367,0.0,0
cell_A,15,38,1.7302,2.2266,14288.21,9119,0.0,0
cell_A,16,38,3.2082,2.7911,7588.55,3005,0.0263,1
cell_A,17,38,5.0766,2.9637,2156.87,265,0.0263,1
cell_A,18,38,5.9545,2.4906,587.03,96,0.0789,3
cell_A,19,38,6.6651,2.2944,162.58,36,0.1053,4
cell_A,20,38,7.8685,2.0125,23.5,12,0.1053,4
cell_A,21,38,8.2342,1.7376,15.79,5,0.1579,6
cell_A,22,38,8.9677,1.5336,12.47,4,0.1053,4
cell_A,23,38,9.3722,1.6344,14.32,4,0.1316,5
cell_A,24,38,9.9145,1.8151,18.39,4,0.1842,7
cell_A,25,38,10.1792,1.8429,16.92,3,0.1579,6
cell_A,26,38,10.1484,1.8586,20.55,4,0.1842,7
cell_A,27,38,10.1444,1.696,17.68,3,0.1316,5
cell_A,28,38,10.5623,1.8446,15.58,3,0.2105,8
cell_A,29,38,10.7583,1.8238,12.37,3,0.1842,7
cell_A,30,38,11.4611,1.5966,5.92,2,0.1842,7
cell_A,31,38,12.7582,1.4842,5.53,2,0.0526,2
cell_C,0,38,-1.1135,1.5892,33355.37,34933,0.0,0
cell_C,1,38,-0.9471,1.3953,32601.29,32462,0.0,0
cell_C,2,38,-0.9477,1.5061,32279.61,32364,0.0,0
cell_C,3,38,-1.0021,1.4758,32694.61,32897,0.0,0
cell_C,4,38,-0.5029,1.3678,29271.05,33214,0.0,0
cell_C,5,38,-0.7673,1.6023,31083.79,31117,0.0,0
cell_C,6,38,-0.7982,1.3378,32366.68,36051,0.0,0
cell_C,7,38,-0.6113,1.3767,30691.42,34494,0.0,0
cell_C,8,38,-1.0118,1.6066,33050.89,39662,0.0,0
cell_C,9,38,-1.3112,1.8954,34700.66,42280,0.0,0
cell_C,10,38,-0.5611,2.0755,29347.37,35072,0.0,0
cell_C,11,38,-0.5567,2.1954,29557.32,34702,0.0,0
cell_C,12,38,-0.4,2.1536,27547.29,29671,0.0,0
cell_C,13,38,1.3619,1.7026,13821.89,9989,0.0,0
cell_C,14,38,1.4152,1.9524,13875.71,9725,0.0,0
cell_C,15,38,2.4772,2.1113,8874.95,3300,0.0,0
cell_C,16,38,3.8599,2.4729,4543.89,929,0.0263,1
cell_C,17,38,7.1892,3.3075,307.74,28,0.2368,9
cell_C,18,38,8.144,2.6155,43.39,8,0.3421,13
cell_C,19,38,8.822,2.3064,15.53,5,0.3158,12
cell_C,20,38,9.8344,2.0419,3.79,2,0.3684,14
cell_C,21,38,10.0746,1.8,2.76,1,0.4474,17
cell_C,22,38,10.7635,1.5165,1.79,0,0.5263,20
cell_C,23,38,11.2469,1.7404,1.89,0,0.5263,20
cell_C,24,38,11.6992,1.7861,2.37,1,0.4211,16
cell_C,25,38,11.8139,1.8285,3.11,1,0.4474,17
cell_C,26,38,11.714,1.9075,4.37,1,0.4474,17
cell_C,27,38,11.6647,1.7314,3.84,0,0.5,19
cell_C,28,38,12.1532,1.7883,3.0,0,0.5263,20
cell_C,29,38,12.2346,1.7884,2.32,0,0.5263,20
cell_C,30,38,13.0866,1.1822,0.74,0,0.5789,22
cell_C,31,38,15.3333,0.6479,0.03,0,0.9737,37
